timestamp_unix,vllm:gpu_cache_usage_perc,vllm:num_preemptions_total,vllm:num_requests_running,vllm:num_requests_swapped,vllm:num_requests_waiting
1768908046.0959244,0.0,1935.0,0.0,0.0,0.0
1768908046.3174732,0.0,1935.0,0.0,0.0,0.0
1768908046.539776,0.0,1935.0,0.0,0.0,0.0
1768908046.761235,0.0,1935.0,0.0,0.0,0.0
1768908046.9830563,0.0,1935.0,0.0,0.0,0.0
1768908047.2056983,0.0,1935.0,0.0,0.0,0.0
1768908047.4276092,0.0,1935.0,0.0,0.0,0.0
1768908047.6501606,0.0,1935.0,0.0,0.0,0.0
1768908047.8718743,0.0,1935.0,0.0,0.0,0.0
1768908048.093041,0.0,1935.0,0.0,0.0,0.0
1768908048.3147507,0.0,1935.0,0.0,0.0,0.0
1768908048.5354056,0.0,1935.0,0.0,0.0,0.0
1768908048.756535,0.0,1935.0,0.0,0.0,0.0
1768908048.9773932,0.0,1935.0,0.0,0.0,0.0
1768908049.1983933,0.0,1935.0,0.0,0.0,0.0
1768908049.4193292,0.0,1935.0,0.0,0.0,0.0
1768908049.6400409,0.0,1935.0,0.0,0.0,0.0
1768908049.8616521,0.0,1935.0,0.0,0.0,0.0
1768908050.0831654,0.0,1935.0,0.0,0.0,0.0
1768908050.3040483,0.0,1935.0,0.0,0.0,0.0
1768908050.5257523,0.0,1935.0,0.0,0.0,0.0
1768908050.7470992,0.0,1935.0,0.0,0.0,0.0
1768908050.9690015,0.0,1935.0,0.0,0.0,0.0
1768908051.190404,0.0,1935.0,0.0,0.0,0.0
1768908051.411241,0.0,1935.0,0.0,0.0,0.0
1768908051.6338859,0.0,1935.0,0.0,0.0,0.0
1768908051.8570724,0.0,1935.0,0.0,0.0,0.0
1768908052.0784705,0.0,1935.0,0.0,0.0,0.0
1768908052.2998526,0.0,1935.0,0.0,0.0,0.0
1768908052.5216246,0.0,1935.0,0.0,0.0,0.0
1768908052.7353716,0.0,1935.0,0.0,0.0,0.0
